0ref 0query
M_avium_subsp_avium M_avium_subsp_paratuberculosis
M_avium_subsp_avium M_avium_subsp_silvaticum
M_avium_subsp_paratuberculosis M_avium_subsp_avium
M_avium_subsp_paratuberculosis M_avium_subsp_silvaticum
M_avium_subsp_silvaticum M_avium_subsp_avium
M_avium_subsp_silvaticum M_avium_subsp_paratuberculosis
M_bovis M_caprae
M_bovis M_microti
M_bovis M_tuberculosis
M_caprae M_bovis
M_caprae M_microti
M_caprae M_tuberculosis
M_conceptionense M_fortuitum_subsp_acetamidolyticum
M_fortuitum_subsp_acetamidolyticum M_conceptionense
M_fortuitum_subsp_acetamidolyticum M_fortuitum_subsp_fortuitum
M_fortuitum_subsp_acetamidolyticum M_marinum
M_fortuitum_subsp_acetamidolyticum M_peregrinum
M_fortuitum_subsp_fortuitum M_fortuitum_subsp_acetamidolyticum
M_marinum M_fortuitum_subsp_acetamidolyticum
M_microti M_bovis
M_microti M_caprae
M_microti M_tuberculosis
M_peregrinum M_fortuitum_subsp_acetamidolyticum
M_tuberculosis M_bovis
M_tuberculosis M_caprae
M_tuberculosis M_microti
